CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Point Earned,Geography_Germany,Geography_Spain,Gender_Male,Card Type_GOLD,Card Type_PLATINUM,Card Type_SILVER,actual,predicted,churn_probability,churn_risk
687,44,9,0.0,2,0,0,103042.2,1,4,309,False,False,False,False,False,False,1,1,0.9995050555119672,High Risk
850,37,4,88141.1,1,1,0,109659.12,0,1,228,False,True,True,True,False,False,0,0,0.002007647556731474,Low Risk
753,62,6,0.0,2,1,1,136398.9,0,4,494,False,False,False,False,False,True,0,0,0.0007865292336479841,Low Risk
678,49,3,204510.94,1,0,1,738.88,1,2,810,False,False,False,False,False,True,1,1,0.9860345668760472,High Risk
578,34,8,147487.23,2,1,0,66680.77,0,3,908,True,False,True,False,False,True,0,0,0.0019323890853036822,Low Risk
825,29,3,148874.01,2,0,1,71192.82,0,3,346,False,False,True,False,False,False,0,0,0.0001868919053752194,Low Risk
696,30,0,0.0,2,1,1,9002.8,0,5,447,False,True,False,False,False,True,0,0,0.0006106904837584662,Low Risk
457,40,10,134320.23,2,1,0,150757.35,0,5,237,False,False,True,False,False,False,0,0,0.0019373445837432843,Low Risk
680,30,8,141441.75,1,1,1,16278.97,0,1,597,False,False,False,False,False,True,0,0,0.0008930528017787689,Low Risk
819,38,10,0.0,2,1,0,30498.7,0,3,380,False,False,False,False,False,True,0,0,0.011090409045944312,Low Risk
510,45,10,103821.47,2,0,1,77878.62,0,3,413,False,False,False,False,False,True,0,0,0.0012392713036598795,Low Risk
567,36,1,0.0,2,0,0,8555.73,0,2,675,False,False,True,True,False,False,0,0,0.002889258983646402,Low Risk
638,34,5,146679.77,1,1,0,102179.86,0,5,790,False,True,True,False,False,False,0,0,0.0007413177641852044,Low Risk
579,56,4,99340.83,1,0,0,4523.74,1,1,806,False,True,True,False,False,False,1,1,0.9963836907991066,High Risk
715,37,9,105489.31,1,0,0,143096.49,1,5,267,True,False,False,True,False,False,1,1,0.9997835942867987,High Risk
587,34,1,0.0,2,1,1,97932.68,0,4,749,False,True,False,False,False,False,0,0,0.0004236987933861611,Low Risk
711,38,3,128718.78,1,0,0,114793.45,0,4,862,False,True,True,False,False,True,0,0,0.0010249385869582413,Low Risk
741,36,3,0.0,2,1,1,89804.83,0,1,900,False,False,False,False,False,True,0,0,0.0004621955590443265,Low Risk
688,38,7,148045.68,1,1,0,175479.92,1,3,309,False,False,True,False,False,False,1,1,0.9956956248578492,High Risk
475,45,0,134264.04,1,1,0,27822.99,1,1,877,False,False,False,False,False,False,1,1,0.9989874888702353,High Risk
567,36,7,0.0,2,0,1,3896.08,0,5,914,False,False,True,True,False,False,0,0,0.00011298923113740926,Low Risk
440,42,2,0.0,2,1,0,49826.68,0,4,260,False,False,True,False,True,False,0,0,0.004684973994055836,Low Risk
741,42,6,106036.52,1,1,0,194686.78,1,4,927,False,False,True,False,False,False,1,1,0.9871622326293371,High Risk
582,41,6,70349.48,2,0,1,178074.04,0,5,419,True,False,True,True,False,False,0,0,0.0005318172392265718,Low Risk
613,26,4,100446.57,1,0,1,149653.81,0,1,292,False,False,True,False,False,False,0,0,0.0006639168615571515,Low Risk
692,43,2,69014.49,2,0,0,164621.43,0,3,708,True,False,False,False,False,False,0,0,0.02988409263592227,Low Risk
521,38,5,110641.18,1,0,1,136507.69,1,4,815,False,False,True,False,False,True,1,1,0.9426432025786412,High Risk
759,35,7,147936.42,1,1,1,106785.7,0,4,312,False,True,False,False,False,True,0,0,0.0005760666794401996,Low Risk
715,42,2,88120.97,2,1,1,21333.22,0,1,577,True,False,True,False,False,False,0,0,0.0006123417800904001,Low Risk
711,39,3,152462.79,1,1,0,90305.97,0,5,851,False,False,False,False,True,False,0,0,0.003942069577881941,Low Risk
554,44,6,92436.86,1,1,0,126033.9,0,4,938,False,False,False,True,False,False,0,0,0.004226856887187009,Low Risk
651,35,8,110067.71,1,1,0,127678.95,1,2,689,True,False,True,True,False,False,1,1,0.9974050206584706,High Risk
495,45,3,89158.94,3,1,0,135169.76,1,1,284,False,True,False,False,True,False,1,1,0.9973749301139669,High Risk
805,39,2,0.0,1,0,0,166650.32,0,1,417,False,False,True,False,True,False,0,0,0.007118426115082593,Low Risk
829,26,8,101440.36,2,1,1,19324.5,0,5,596,False,True,False,False,False,False,0,0,0.00023057802637538538,Low Risk
583,40,4,55776.39,2,1,0,26920.43,0,3,574,False,False,False,True,False,False,0,0,0.0065185476300705925,Low Risk
686,43,0,0.0,1,1,1,170072.9,0,5,929,False,False,False,False,True,False,0,0,0.0005907452455403041,Low Risk
505,40,6,47869.69,2,1,1,155061.97,0,1,910,True,False,True,False,False,False,0,0,0.00036799206128428264,Low Risk
528,30,2,128262.72,2,1,0,50771.16,0,2,791,False,False,True,False,True,False,0,0,0.0008961306235147451,Low Risk
677,34,4,0.0,2,1,1,6175.53,0,4,839,False,True,False,False,False,False,0,0,0.0003678743514617799,Low Risk
660,37,2,133200.09,1,0,0,71433.88,0,4,700,True,False,False,False,False,False,0,0,0.047470351167158115,Low Risk
785,36,2,99806.85,1,0,1,36976.52,0,5,786,True,False,False,False,True,False,0,0,0.0029743902769181255,Low Risk
607,27,5,100912.19,1,0,0,7631.27,0,4,908,False,True,False,True,False,False,0,0,0.004770717127600835,Low Risk
603,39,5,162390.52,2,1,0,54702.66,0,5,293,False,True,False,True,False,False,0,0,0.0031590964883946486,Low Risk
480,28,6,0.0,2,0,0,48131.92,0,3,921,False,False,False,False,False,True,0,0,0.00957548369582001,Low Risk
656,68,7,153545.11,1,1,1,186574.68,0,2,430,True,False,True,False,False,False,0,0,0.0009087807326563134,Low Risk
631,48,1,106396.48,1,1,1,150661.42,1,1,336,True,False,True,False,False,True,1,1,0.9913865213046262,High Risk
604,35,7,147285.52,1,1,1,57807.05,0,5,1000,False,True,False,False,True,False,0,0,0.00018775533442934542,Low Risk
622,32,5,179305.09,1,1,1,149043.78,0,4,383,False,False,True,True,False,False,0,0,0.00011629522850570027,Low Risk
601,42,9,133636.16,1,0,1,103315.74,0,4,336,True,False,False,False,False,True,0,0,0.00683029341471449,Low Risk
674,46,2,174701.05,1,1,0,90189.72,1,4,410,False,False,True,False,False,False,1,1,0.9953154559858958,High Risk
531,31,3,0.0,1,1,1,42589.33,0,1,241,False,False,True,False,False,False,0,0,0.0010679322385500477,Low Risk
632,32,6,111589.33,1,1,1,170382.99,0,4,782,False,False,True,False,False,False,0,0,0.00011225623321283819,Low Risk
707,46,7,127476.73,2,1,1,146011.55,0,4,278,False,False,False,False,False,True,0,0,0.0005734682606419235,Low Risk
723,25,3,0.0,2,1,1,134509.47,0,2,409,False,False,True,False,False,False,0,0,0.00022562997818100197,Low Risk
795,38,7,125903.22,2,1,1,127068.92,0,5,912,True,False,True,True,False,False,0,0,8.034641854568611e-05,Low Risk
585,45,0,0.0,2,0,0,189683.7,0,3,957,False,True,True,False,False,False,0,0,0.0011434629537402934,Low Risk
627,30,6,57809.32,1,1,0,188258.49,0,3,545,True,False,False,False,False,False,0,0,0.045543335727027186,Low Risk
546,30,5,0.0,2,0,1,198543.09,0,4,808,False,False,False,False,False,False,0,0,0.0007614477144223395,Low Risk
571,66,9,111577.01,1,0,1,189271.9,0,1,445,True,False,False,False,True,False,0,0,0.007982631011454279,Low Risk
684,42,1,117691.0,1,1,1,23135.65,1,5,653,True,False,True,False,False,False,1,1,0.9827892474792124,High Risk
636,45,7,139859.23,1,1,1,108402.54,0,3,393,False,False,False,True,False,False,0,0,0.0008114566634093841,Low Risk
562,48,3,92347.96,1,1,1,163116.75,0,1,876,False,False,True,False,False,False,0,0,0.00017412932694123802,Low Risk
482,48,2,69329.47,1,0,0,102640.52,1,5,910,True,False,False,False,False,False,1,1,0.9997790527312127,High Risk
786,62,8,0.0,1,1,1,165702.64,0,2,765,False,False,False,False,False,True,0,0,0.000975939979874471,Low Risk
747,45,1,114959.12,1,1,0,189362.39,1,1,727,False,False,False,False,False,False,1,1,0.9986247883102761,High Risk
688,32,6,124179.3,1,1,1,138759.15,0,1,539,False,True,True,True,False,False,0,0,8.71613610164502e-05,Low Risk
699,29,3,125689.29,1,1,1,151623.71,0,1,503,False,False,True,False,False,False,0,0,0.00022426484719964405,Low Risk
528,32,4,85615.66,2,1,0,156192.43,0,2,518,False,False,False,False,False,True,0,0,0.0071796399131974775,Low Risk
542,42,1,0.0,1,1,1,178256.58,1,2,600,False,False,False,True,False,False,1,1,0.9906635337066618,High Risk
773,50,4,0.0,2,1,0,129372.94,0,4,504,False,False,False,True,False,False,0,0,0.006178698042472209,Low Risk
675,33,3,0.0,2,1,0,45348.08,0,5,487,False,True,True,True,False,False,0,0,0.0009568672173172803,Low Risk
652,51,7,0.0,2,0,1,43496.36,0,5,749,False,False,True,False,True,False,0,0,0.00018503994967742065,Low Risk
638,27,4,135096.05,1,1,1,186523.72,1,2,995,True,False,True,False,False,False,1,1,0.9588887358095738,High Risk
607,32,9,144272.07,2,1,0,176580.63,0,3,797,True,False,True,True,False,False,0,0,0.0013384631647307497,Low Risk
594,23,4,104753.84,2,1,0,56756.52,1,3,729,True,False,False,False,True,False,1,1,0.9992099009843181,High Risk
755,42,2,119919.12,1,1,0,156868.21,0,1,765,False,False,True,False,True,False,0,0,0.0013978770396742529,Low Risk
555,40,10,139930.18,1,1,1,105720.09,0,1,872,False,False,True,False,False,True,0,0,0.00011529164678931379,Low Risk
710,43,2,140080.32,3,1,1,157908.19,1,3,350,True,False,True,True,False,False,1,1,0.9271999411079249,High Risk
823,53,4,124954.94,1,0,1,131259.6,1,1,242,True,False,False,False,False,False,1,1,0.9988959638862402,High Risk
694,42,3,156864.2,2,0,0,88890.75,0,3,314,False,False,True,False,True,False,0,0,0.002292962933037119,Low Risk
584,47,5,0.0,2,1,0,89286.29,0,5,343,False,False,True,True,False,False,0,0,0.0021580548928298473,Low Risk
740,33,1,129574.98,1,1,1,123300.38,0,3,506,False,False,True,True,False,False,0,0,0.0001252433514344803,Low Risk
511,33,7,0.0,2,0,1,158313.87,0,4,413,False,False,True,False,True,False,0,0,0.0003156967739258249,Low Risk
481,44,9,175303.06,1,1,0,65500.53,1,4,408,False,False,True,False,True,False,1,1,0.9952528396263329,High Risk
488,36,0,0.0,2,1,0,136675.22,0,2,798,False,False,False,False,False,True,0,0,0.007751522995783127,Low Risk
718,33,7,102874.28,1,0,0,117841.06,0,5,504,False,False,True,False,False,True,0,0,0.002934860331428312,Low Risk
523,41,0,119276.31,1,0,0,122284.38,1,3,844,True,False,True,False,False,True,1,1,0.9987155464886005,High Risk
698,38,2,130015.24,1,1,1,41595.3,0,1,922,False,False,True,True,False,False,0,0,8.629638953966316e-05,Low Risk
555,51,9,138214.5,1,1,0,198715.27,1,2,266,True,False,False,False,False,True,1,1,0.9998042038051419,High Risk
750,26,1,151510.17,2,1,1,19921.72,0,5,433,False,False,False,False,True,False,0,0,0.0003907716159846616,Low Risk
779,33,1,158456.76,1,1,1,197000.92,1,5,274,True,False,True,False,True,False,1,1,0.9788329687754611,High Risk
529,39,6,102025.08,2,1,0,12351.01,0,1,540,False,False,True,False,False,True,0,0,0.0020055515900037225,Low Risk
618,33,4,0.0,2,1,1,77550.18,0,1,273,False,True,True,False,False,True,0,0,0.00023332645707847875,Low Risk
790,34,2,164011.48,1,1,0,199420.41,0,1,275,True,False,False,False,False,False,0,0,0.04623555554304403,Low Risk
710,27,2,135277.96,1,1,0,142200.15,0,4,314,False,True,False,False,False,True,0,0,0.007128639115149074,Low Risk
714,49,4,93059.34,1,1,0,7571.51,1,4,381,True,False,False,False,True,False,1,1,0.9998131043018996,High Risk
850,54,4,120952.74,1,1,0,66963.15,0,5,396,False,True,False,False,False,True,0,0,0.006905355449950619,Low Risk
679,41,8,147726.98,3,1,0,172749.4,1,1,575,False,False,True,False,False,False,1,1,0.9775484716921768,High Risk
794,56,9,96951.21,1,1,1,71776.76,0,2,694,False,False,True,False,True,False,0,0,0.00015868038884105706,Low Risk
746,33,2,107868.14,2,1,1,146192.4,0,1,459,True,False,False,True,False,False,0,0,0.001463483007823982,Low Risk
470,35,1,96473.59,1,0,0,5962.3,0,5,752,False,False,True,False,False,True,0,0,0.0036152552631354483,Low Risk
670,35,2,124268.64,2,0,1,84321.03,0,4,301,False,True,True,False,False,False,0,0,0.00016821699844998638,Low Risk
669,37,1,125529.55,1,1,1,162260.93,0,5,720,False,False,True,False,True,False,0,0,9.731048556636221e-05,Low Risk
628,31,6,175443.75,1,1,0,113167.17,1,2,559,False,False,False,True,False,False,1,1,0.9979671721178747,High Risk
721,33,5,0.0,2,0,1,117626.9,0,1,300,False,True,True,False,False,True,0,0,0.00028850174192391833,Low Risk
597,43,7,119127.46,2,1,0,55809.92,0,5,981,True,False,False,False,False,True,0,0,0.00828114239958725,Low Risk
500,47,8,128486.11,1,1,0,179227.12,0,4,641,False,True,False,False,False,True,0,0,0.005069726021782463,Low Risk
494,33,1,137853.0,1,0,1,90273.85,0,3,674,False,False,False,False,False,True,0,0,0.001331371650173575,Low Risk
676,29,4,140720.93,1,1,0,36221.18,0,5,439,False,False,True,False,True,False,0,0,0.0020542030772157864,Low Risk
524,31,10,67238.98,2,1,1,161811.23,0,5,685,True,False,False,True,False,False,0,0,0.0009260231466605902,Low Risk
669,57,5,0.0,2,1,1,56875.76,0,1,860,False,False,True,True,False,False,0,0,0.00010240274450779928,Low Risk
598,28,8,129991.76,2,0,1,46041.08,0,3,573,False,False,True,False,False,True,0,0,0.00014897630070632629,Low Risk
577,33,6,0.0,2,1,0,57975.8,0,2,893,False,True,False,False,True,False,0,0,0.0037404458284270173,Low Risk
773,41,9,102827.44,1,0,1,64595.25,0,5,488,False,True,True,False,False,False,0,0,0.0002052332680973312,Low Risk
602,31,7,155271.83,1,1,1,179446.31,0,4,836,False,False,True,True,False,False,0,0,5.193271442431565e-05,Low Risk
656,39,10,0.0,2,1,1,98894.64,0,1,259,False,False,True,False,False,True,0,0,0.00032679914902064214,Low Risk
725,25,9,0.0,2,1,1,168607.74,0,2,922,False,False,False,False,False,True,0,0,0.000298708921178021,Low Risk
699,34,4,185173.81,2,1,0,120834.48,0,3,429,True,False,True,False,True,False,0,0,0.0030985636762889987,Low Risk
584,31,6,152622.34,1,1,0,99298.8,0,5,445,True,False,False,False,False,False,0,0,0.0371171289812914,Low Risk
628,51,9,155903.82,2,1,1,71159.84,0,5,597,True,False,False,False,False,True,0,0,0.0011762418403795634,Low Risk
520,42,6,0.0,2,1,1,34410.55,0,2,922,False,True,False,False,False,True,0,0,0.00038138705920630843,Low Risk
716,30,2,205770.78,2,0,0,65464.66,0,2,764,True,False,False,True,False,False,0,0,0.010485157660155169,Low Risk
765,43,9,157960.49,2,0,0,136602.8,0,1,335,False,False,True,False,True,False,0,0,0.001989495220707871,Low Risk
589,39,7,0.0,2,0,0,95985.64,0,5,359,False,False,False,False,False,False,0,0,0.022296496084016647,Low Risk
594,57,6,0.0,1,1,0,19376.56,1,5,661,False,False,True,True,False,False,1,1,0.9958390873739591,High Risk
521,37,2,0.0,2,1,1,86372.24,0,5,942,False,False,True,False,False,True,0,0,8.67408563151525e-05,Low Risk
663,64,6,0.0,2,0,1,15876.52,0,5,653,False,True,True,False,False,False,0,0,0.00019735726514906438,Low Risk
636,24,9,0.0,2,0,1,38830.72,0,1,493,False,False,False,True,False,False,0,0,0.001266721475386273,Low Risk
597,26,5,0.0,2,0,1,95159.13,0,3,545,False,True,True,True,False,False,0,0,0.00013160001772106265,Low Risk
682,29,6,101012.77,1,0,0,32589.89,1,4,937,True,False,False,True,False,False,1,1,0.9994702854472515,High Risk
691,33,6,0.0,2,1,0,164074.89,0,5,643,False,False,False,False,False,True,0,0,0.005258526170299542,Low Risk
680,34,6,146422.22,1,1,0,67142.97,1,3,870,True,False,True,True,False,False,1,1,0.9957423608470473,High Risk
492,48,6,127253.98,1,1,1,92144.09,1,3,681,False,False,False,False,False,True,1,1,0.9866423527450325,High Risk
684,36,5,174180.39,1,1,0,119830.08,0,1,364,False,True,False,False,False,False,0,0,0.008818711550261541,Low Risk
533,36,7,85311.7,1,0,1,156731.91,0,5,628,False,False,True,False,False,True,0,0,0.000260141404908315,Low Risk
540,28,8,0.0,2,0,0,197588.32,0,3,463,False,True,True,False,False,True,0,0,0.002041569625913761,Low Risk
783,42,2,139707.28,1,1,0,2150.22,0,2,501,True,False,False,True,False,False,0,0,0.03225500972633237,Low Risk
411,29,0,59697.17,2,1,1,53483.21,0,2,343,False,False,True,True,False,False,0,0,0.0002273909574762657,Low Risk
526,30,9,0.0,2,0,0,100995.68,0,1,518,False,False,True,False,True,False,0,0,0.004075977228639117,Low Risk
576,44,9,119530.52,1,1,0,119056.68,1,4,802,True,False,True,False,False,True,1,1,0.9974848513121853,High Risk
497,47,6,0.0,1,1,1,90055.08,0,5,592,False,False,True,False,False,True,0,0,0.0003425300139069046,Low Risk
744,31,9,120718.28,1,1,1,58961.49,0,3,332,False,False,True,True,False,False,0,0,0.00017960019574932924,Low Risk
582,32,1,88938.62,1,1,1,10054.53,0,4,838,True,False,True,True,False,False,0,0,0.000416536967183173,Low Risk
452,35,8,0.0,2,1,1,149614.81,0,1,514,False,False,False,False,True,False,0,0,0.0010739856830544149,Low Risk
485,39,2,75339.64,1,1,1,70665.16,0,3,772,False,False,False,True,False,False,0,0,0.0007397068882114556,Low Risk
850,46,2,157866.77,1,1,1,18986.12,0,3,482,False,False,False,True,False,False,0,0,0.000625771539649955,Low Risk
649,36,8,0.0,2,1,0,161668.15,0,3,354,False,True,True,True,False,False,0,0,0.0011274269513300175,Low Risk
661,28,7,95357.49,1,0,0,102297.15,0,5,508,False,True,False,True,False,False,0,0,0.007167827199785354,Low Risk
725,26,6,98684.15,1,0,0,133720.57,0,1,796,False,False,True,False,False,True,0,0,0.0022700071748367953,Low Risk
624,71,4,170252.05,3,1,1,73679.59,1,2,858,False,False,False,True,False,False,1,1,0.9034999557193806,High Risk
668,46,0,0.0,2,0,0,29388.02,0,1,419,False,False,True,False,True,False,0,0,0.006089122918919962,Low Risk
706,28,3,0.0,2,0,1,181543.67,0,3,241,False,True,True,False,False,True,0,0,0.00024153769325242668,Low Risk
553,33,4,118082.89,1,0,0,94440.45,0,4,221,False,False,True,False,False,True,0,0,0.006790836481376584,Low Risk
571,25,6,82506.72,2,1,0,167705.07,0,3,624,True,False,True,False,False,False,0,0,0.0041751805151556175,Low Risk
477,58,8,145984.92,1,1,1,24564.7,0,5,464,True,False,False,False,False,False,0,0,0.00513411446019578,Low Risk
696,41,8,0.0,2,0,0,28276.83,0,3,628,False,False,False,False,True,False,0,0,0.013430912014492433,Low Risk
481,39,6,0.0,1,1,1,24677.54,0,3,953,False,False,False,True,False,False,0,0,0.0007939756631895874,Low Risk
639,38,3,0.0,1,1,0,42862.82,0,1,600,False,False,True,False,False,True,0,0,0.004995276884570407,Low Risk
810,35,3,96814.46,2,1,1,120511.03,0,1,275,True,False,True,True,False,False,0,0,0.00044898847553166433,Low Risk
516,42,8,56228.25,1,1,0,46857.52,0,1,608,False,False,False,False,False,False,0,0,0.02210292805450585,Low Risk
662,59,2,104568.41,1,1,0,8059.44,1,5,546,True,False,True,False,False,False,1,1,0.99902099927219,High Risk
690,43,2,166522.78,1,0,0,119644.59,1,4,834,True,False,True,False,False,False,1,1,0.9981305344424878,High Risk
500,38,7,0.0,2,0,0,192013.23,0,2,870,False,True,True,False,False,False,0,0,0.0013902616697508234,Low Risk
656,40,10,167878.5,1,0,1,151887.16,0,5,806,False,True,False,False,True,False,0,0,0.0003048028422754343,Low Risk
697,35,5,133087.76,1,1,0,64771.61,0,1,373,False,False,True,True,False,False,0,0,0.002472971243257185,Low Risk
718,37,8,0.0,2,1,1,142.81,0,5,720,False,False,True,True,False,False,0,0,8.254140828140677e-05,Low Risk
501,41,3,144260.5,1,1,0,172114.67,0,5,518,False,False,False,False,False,False,0,0,0.010262002747686976,Low Risk
844,28,4,0.0,2,0,1,123318.37,0,4,302,False,False,False,False,True,False,0,0,0.0013133587751061764,Low Risk
710,75,5,0.0,2,1,1,9376.89,0,1,857,False,True,False,True,False,False,0,0,0.0003685900845927515,Low Risk
748,44,4,112610.77,1,0,1,2048.55,0,3,315,False,False,True,True,False,False,0,0,0.00041564183594659934,Low Risk
494,69,9,93320.8,1,1,1,24489.44,0,2,366,False,False,True,False,False,True,0,0,0.0005466789216599546,Low Risk
757,47,3,130747.1,1,1,0,143829.54,0,1,303,False,False,True,False,False,True,0,0,0.0034233611674005246,Low Risk
497,32,8,111537.23,4,1,1,9497.99,1,5,822,True,False,False,False,False,True,1,1,0.960806698637047,High Risk
744,38,6,73023.17,2,1,0,78770.86,0,5,353,True,False,True,True,False,False,0,0,0.0041303348963060375,Low Risk
591,28,5,0.0,2,1,1,48606.92,0,4,916,False,False,True,False,False,True,0,0,8.80477150494931e-05,Low Risk
638,48,10,138333.03,1,1,1,47679.14,0,3,893,False,False,False,False,False,True,0,0,0.00047675028860836617,Low Risk
581,46,2,79385.21,2,0,0,188492.82,0,1,639,False,True,True,True,False,False,0,0,0.0010462309286829894,Low Risk
604,40,1,84315.02,1,0,0,36209.1,0,3,885,False,False,True,False,True,False,0,0,0.0028174696766803957,Low Risk
571,53,2,0.0,2,1,0,28045.77,0,5,266,False,False,False,False,False,True,0,0,0.019732868030219085,Low Risk
850,38,3,54901.01,1,1,1,140075.55,0,2,926,True,False,True,True,False,False,0,0,0.0002759760811117453,Low Risk
596,54,0,78126.28,1,1,1,153482.91,1,2,479,False,True,False,False,True,False,1,1,0.9878802206604066,High Risk
528,31,9,120962.59,1,1,0,5419.31,0,5,511,False,False,True,False,True,False,0,0,0.0023827177465323714,Low Risk
542,39,3,135096.77,1,1,1,14353.43,1,2,328,False,False,True,False,True,False,1,1,0.9706105637892096,High Risk
683,39,2,47685.47,2,1,1,86019.48,0,4,649,True,False,False,False,False,True,0,0,0.0018397336630583678,Low Risk
698,48,4,101238.24,2,0,1,177815.87,1,1,342,False,False,True,True,False,False,1,1,0.9419614231445776,High Risk
655,34,3,0.0,2,1,0,159638.77,0,1,508,False,False,False,False,False,False,0,0,0.01224562051339686,Low Risk
729,30,6,63669.42,1,1,0,145111.37,0,2,484,True,False,True,True,False,False,0,0,0.007285902993361566,Low Risk
646,36,6,124445.52,1,1,0,88481.32,0,2,621,False,False,True,False,False,True,0,0,0.0020288510702544606,Low Risk
850,40,8,102800.65,1,1,0,60811.56,0,3,833,False,False,True,False,False,False,0,0,0.0013168106635632138,Low Risk
665,43,2,116322.27,4,1,0,35640.12,1,5,392,True,False,False,True,False,False,1,1,0.9976227504695918,High Risk
601,49,4,96252.98,2,1,0,104263.82,0,4,390,True,False,False,True,False,False,0,0,0.022010114941754772,Low Risk
694,38,1,0.0,2,0,1,156858.2,0,5,918,False,False,True,False,True,False,0,0,0.0001014836010933476,Low Risk
732,36,9,0.0,1,0,0,3749.0,1,1,748,False,False,False,False,False,True,1,1,0.9995340672370281,High Risk
679,30,9,0.0,2,1,0,157871.55,0,5,460,False,False,True,False,True,False,0,0,0.0014552188309664893,Low Risk
487,40,6,136093.74,1,0,1,193408.43,0,2,677,False,True,False,False,False,True,0,0,0.0007395589938612707,Low Risk
792,50,4,146710.76,1,1,0,16528.4,1,4,895,True,False,False,True,False,False,1,1,0.9990702837497035,High Risk
472,31,4,58662.92,2,0,1,73322.0,0,1,437,False,False,True,True,False,False,0,0,0.0002890837704308805,Low Risk
706,46,7,111288.18,1,1,1,149170.25,1,2,862,True,False,False,False,False,False,1,1,0.9942365842008516,High Risk
708,35,8,122570.69,1,0,0,199005.88,0,2,406,False,True,False,False,False,True,0,0,0.010639085555461088,Low Risk
477,39,4,182491.57,1,1,0,185830.72,0,3,333,True,False,False,False,False,True,0,0,0.042227686286433044,Low Risk
512,24,6,0.0,2,1,0,37654.31,0,2,572,False,False,True,False,False,False,0,0,0.0028996177896714486,Low Risk
737,50,4,127552.85,2,1,0,4225.11,0,2,555,True,False,True,False,False,False,0,0,0.0057606540131665985,Low Risk
572,54,9,97382.53,1,1,1,195771.95,0,3,316,True,False,False,True,False,False,0,0,0.003931707681344071,Low Risk
747,36,8,102603.3,2,1,1,180693.61,0,3,751,True,False,True,True,False,False,0,0,0.0001341671263095131,Low Risk
691,40,0,115465.98,1,1,1,60622.61,0,4,823,False,False,False,False,True,False,0,0,0.0005387891818118991,Low Risk
692,66,4,159732.02,1,1,1,118188.15,0,4,273,False,False,True,True,False,False,0,0,0.00019833268965045993,Low Risk
850,32,9,141827.33,2,1,1,149458.73,0,2,295,True,False,True,False,True,False,0,0,0.0003312484847920759,Low Risk
531,27,8,132576.25,1,0,0,7222.92,0,5,835,False,True,True,False,False,True,0,0,0.001296645764040253,Low Risk
487,61,5,110368.03,1,0,0,11384.45,1,2,982,True,False,False,False,False,False,1,1,0.9998089696177551,High Risk
